,Unnamed: 0,评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间,senta_sentiments
23,23,https://weibo.cn//u/2131529553,FE_颜浚,男,广东,406,272,206,回复@东方今报:话题消失了,0,2020-08-26 20:27 ,negative
24,24,https://weibo.cn//u/5513007685,肉肉就是爱吃肉肉,女,安徽,349,276,339,都要给孩子留下心理阴影了,0,2020-08-26 19:58 ,negative
25,25,https://weibo.cn//u/6759203919,你们都别啦拦我,男,其他,16,548,198,回复@发光未来:他自己都干过,0,2020-08-26 19:56 ,positive
26,26,https://weibo.cn//1314witness,o杨三寿o0,男,四川,1373,212,818,牛笔！太牛笔了！永州👮，真为人民币服务！,0,2020-08-26 19:32 ,positive
27,27,https://weibo.cn//u/5645120212,啊啊汤啊,女,江苏,1027,522,158,就想知道以后谁还敢见义勇为啊！,0,2020-08-26 19:22 ,negative
28,28,https://weibo.cn//u/6625666825,卯日星辰,男,上海,18,39,73,男同学早恋了吗？碰了一下，闹这么大？看过视频真不觉得有什么大不了的。,0,2020-08-26 19:20 ,negative
29,29,https://weibo.cn//u/2207739821,禅峰雨花,男,北京,323,150,98,是的，千真万确，老百姓的感觉都是这样。,0,2020-08-26 19:13 ,positive
30,30,https://weibo.cn//u/2207739821,禅峰雨花,男,北京,323,150,98,法律不能保护坏人,0,2020-08-26 19:13 ,negative
31,31,https://weibo.cn//u/5681244502,·LaPP,男,其他,4,83,258,回复@污大白2017:主要一些地方腐败还是很严重,0,2020-08-26 19:05 ,negative
32,32,https://weibo.cn//shichen1,不如乘月去,女,广东,845,627,831,回复@我钟意驹:一开始的情况 后来强奸犯被拘留判刑了,0,2020-08-26 19:00 ,positive
33,33,https://weibo.cn//u/1484798075,纳喵喵,女,陕西,8616,238,568,又是永州！没记错的话，唐慧的案子在永州吧？福利院把超生的孩子送养国外也是永州吧？,0,2020-08-26 18:34 ,negative
34,34,https://weibo.cn//u/5606902222,那年天月,女,上海,794,388,85,我们国家政府公信力就是被部分人搞没的,0,2020-08-26 18:03 ,negative
35,35,https://weibo.cn//u/5915270593,武松打的小老虎m,女,其他,145,97,216,问永州公安几个问题，给网友一个交代：1.粉碎性骨折当天为何没发现，到几天后发作的？2.警察支持赔偿20万，要求不达成就刑拘?有没有互相勾结利益输送？3.多处骨折，居然40多天后康复如常了，是哪个神仙给治疗的？4.录像监控为何说没就没？5.明显的猥亵行为通报为何是触摸这么文雅的词？,1,2020-08-26 17:46 ,negative
36,36,https://weibo.cn//u/7483496053,我站在桥边,女,四川,0,3,2,警察真的是不作为的。。。。,0,2020-08-26 17:41 ,negative
37,37,https://weibo.cn//u/5428975146,茶啊二花,女,其他,80,472,60,回复@德艺双馨的稀有的缓缓翱翔的鸵鸟:问题就在这里，已经赔了1万了，对方张口20万，现在连是不是这个男生直接造成的还不知道，直接被刑拘。更何况公民协助扭送嫌疑犯过失造成的轻伤还有个公平兜底原则在那里。,0,2020-08-26 17:36 ,negative
38,38,https://weibo.cn//u/5664514753,德艺双馨的稀有的缓缓翱翔的鸵鸟,男,山东,356,61,3044,回复@茶啊二花:就算是过失，赔偿是少不了的。,0,2020-08-26 17:23 ,positive
39,39,https://weibo.cn//u/2705665353,wanghongjian1989,男,福建,402,126,105,治疗费用追回来，犯罪就应该知道会有各种后果，还反过来要求人家赔偿，滑天下之大姬,0,2020-08-26 17:19 ,negative
40,40,https://weibo.cn//u/7234016044,捍卫一点小正义,男,浙江,172,150,94,回复@小儿麻痹晚期:对对对，国家的司法单位不是鼓励犯罪，是在共情犯罪，在包庇犯罪。毕竟都是降分录取的东西,0,2020-08-26 17:13 ,negative
41,41,https://weibo.cn//u/7234016044,捍卫一点小正义,男,浙江,172,150,94,回复@污大白2017:这样的法还能夸的出来?进步? 可笑,0,2020-08-26 17:08 ,negative
42,42,https://weibo.cn//u/6482772774,幸会珂珂,女,江苏,70,1136,53,迷惑的行为增加了,0,2020-08-26 17:05 ,negative
43,43,https://weibo.cn//u/7012298430,喜欢梅兰喜欢奇一,女,其他,322,262,64,回复@终于可以改了那个沙雕名字了:同意,0,2020-08-26 17:02 ,positive
44,44,https://weibo.cn//u/7039503945,生死与共bjd,男,江苏,27,106,10,不知道这帮警察干什么吃的，百姓遇到危险时从来见不到他们身影,0,2020-08-26 16:56 ,negative
45,45,https://weibo.cn//u/5428975146,茶啊二花,女,其他,80,472,60,回复@德艺双馨的稀有的缓缓翱翔的鸵鸟:反正要算故意伤害就真的扯淡了,0,2020-08-26 16:48 ,negative
46,46,https://weibo.cn//u/7483496053,我站在桥边,女,四川,0,3,2,哎，社会就是这样的,0,2020-08-26 16:46 ,negative
47,47,https://weibo.cn//u/5664514753,德艺双馨的稀有的缓缓翱翔的鸵鸟,男,山东,356,61,3044,回复@茶啊二花:不管怎么这件事也不会算见义勇为。,0,2020-08-26 16:25 ,negative
48,48,https://weibo.cn//u/1763324493,广肀口丬士,男,其他,322,198,532,做好事的成本越来越高，犯罪的惩罚越来越轻,0,2020-08-26 16:23 ,negative
49,49,https://weibo.cn//u/1746025861,吃饱睡告告,男,重庆,495,426,463,就这样的事 还如何发展推进“依法治国” 如何让“人民有信仰”？信仰做好事没好报 自己好最重要吗？,0,2020-08-26 16:21 ,negative
50,50,https://weibo.cn//u/5864793430,If心儿暖暖,女,广东,721,12,2,请让办案民警 滚出给警察抹黑的队伍. 👍,1,2020-08-26 16:06 ,negative
51,51,https://weibo.cn//frankl0ng,核动力野猪,男,北京,2680,505,426,这么说以后还是别“保家卫国”了，万一失手把侵略者打死了，还不得被XXX公安分局予以刑事拘留啊？为什么像满清朝廷一样害怕中国人（汉人）有血性？一边BB美帝亡我之心不死，一边这么对待自己挺身而出的国民？现在美帝摆明了要冷战了，真到时候真指望那帮“美帝留学生家长会”的人来守护中国？     举报             赞[0]         回复             今天 16:02 来自网页,0,2020-08-26 16:02 ,negative
52,52,https://weibo.cn//u/6375866128,桐野鹤一,女,山东,32,65,11,回复@嘉螃友:想起我小时候坐汽车被旁边的一个变态摸大腿，都是我当时太胆小了，搁现在我必须得给他骂入土了,1,2020-08-26 15:59 ,negative
53,53,https://weibo.cn//u/5308276439,小汤圆圆圆圆圆青,女,海外,3308,213,249, ,0,2020-08-26 15:59 ,positive
54,54,https://weibo.cn//u/3834960348,穿着裤衩跳国标,男,新疆,214,378,43,这什么神操作,0,2020-08-26 15:56 ,negative
55,55,https://weibo.cn//u/7161983290,·Jennierubyjane,女,其他,237,47,49,回复@5rkure:无语无语无语无语,0,2020-08-26 15:52 ,negative
56,56,https://weibo.cn//u/6560265033,就看看马上下线,女,其他,1,11,1,回复@小儿麻痹晚期:难道不是吗？,0,2020-08-26 15:50 ,negative
57,57,https://weibo.cn//u/5235380467,咸妃姐姐,女,福建,537,370,281,甚至不知道该如何组织语言评论,0,2020-08-26 15:43 ,negative
58,58,https://weibo.cn//u/5428975146,茶啊二花,女,其他,80,472,60,回复@德艺双馨的稀有的缓缓翱翔的鸵鸟:这不一定会受伤好吗？对他逃跑形成阻力而已。这种属于逃跑的嫌犯，可以算作公民协助扭送。,0,2020-08-26 15:43 ,positive
59,59,https://weibo.cn//u/6660350677,安静的相思,男,广西,278,1366,414,回复@PPPPPost:超级符合。除非你爸是首富,0,2020-08-26 15:37 ,positive
60,60,https://weibo.cn//u/5664514753,德艺双馨的稀有的缓缓翱翔的鸵鸟,男,山东,356,61,3044,回复@茶啊二花:不伤人不就跑了？只能是让他受伤跑不了。反正这种不是不法侵害正在进行的出手行为根本不是见义勇为。跟正当防卫的条件是一样的。,0,2020-08-26 15:27 ,negative
61,61,https://weibo.cn//u/5428975146,茶啊二花,女,其他,80,472,60,回复@德艺双馨的稀有的缓缓翱翔的鸵鸟:你也说是为了让对方跑不了啊，故意的目的不是伤人泄愤，是为了阻止嫌疑犯逃跑，性质差别很大,0,2020-08-26 15:23 ,negative
62,62,https://weibo.cn//u/2289250335,惠子惠惠子,女,湖南,455,316,243,回复@salo嗨翻天:有钱换个好手机吧 别在网上怼天怼地了,0,2020-08-26 15:23 ,negative
63,63,https://weibo.cn//u/2289250335,惠子惠惠子,女,湖南,455,316,243,回复@salo嗨翻天:那你去一个个翻案啊 这个没讲完讲其他的 你能听得懂意思？那冤案你这一辈子都说不完呢,0,2020-08-26 15:22 ,negative
64,64,https://weibo.cn//u/2289250335,惠子惠惠子,女,湖南,455,316,243,回复@salo嗨翻天:我泼谁脏水了？你吃了什么嘴巴那么臭,0,2020-08-26 15:21 ,negative
65,65,https://weibo.cn//u/5664514753,德艺双馨的稀有的缓缓翱翔的鸵鸟,男,山东,356,61,3044,回复@茶啊二花:就是故意，他觉得把人一脚踹倒，对方就跑不了了。,0,2020-08-26 15:20 ,negative
66,66,https://weibo.cn//u/5428975146,茶啊二花,女,其他,80,472,60,回复@德艺双馨的稀有的缓缓翱翔的鸵鸟:踢一脚就一定会受伤？只能说有过失，但他的本意不是故意伤人。况且拉扯之间有轻微受伤也是难免，照你这么说，帮助警察抓嫌犯还得束手束脚，全靠一张嘴咯。,0,2020-08-26 15:13 ,negative
67,67,https://weibo.cn//u/3628424861,遗音绕梁,女,青海,232,997,93,回复@PPPPPost:可不是嘛，传统“美德”,0,2020-08-26 15:10 ,negative
68,68,https://weibo.cn//u/3628424861,遗音绕梁,女,青海,232,997,93,回复@清涵怡韵:而且中间还有个时间差，过了好几天才跑过来说骨折了，感情这骨折还有个缓冲期呢？,0,2020-08-26 15:07 ,negative
69,69,https://weibo.cn//u/1413274191,请叫我蝈蝈,男,辽宁,422,237,111,应该起诉当地公安局要求登报道歉,1,2020-08-26 15:07 ,negative
70,70,https://weibo.cn//u/3628424861,遗音绕梁,女,青海,232,997,93,明明做了好事却要被刑拘，而真正的恶人却逍遥法外，如此下去谁还敢见义勇为？谁还会教导自己的孩子要做好事，见义勇为？长此以往，见义勇为将不再是身边的好人好事，而只是词典上的一行墨字,0,2020-08-26 15:01 ,negative
71,71,https://weibo.cn//u/5492396788,salo嗨翻天,男,北京,165,241,19,回复@惠子惠惠子:旧案就不该拿出来说？那完蛋了，最近几年纠正冤案错案有点多哦。啥？你说社会倒退了几百年了吧？,0,2020-08-26 14:47 ,negative
72,72,https://weibo.cn//u/5492396788,salo嗨翻天,男,北京,165,241,19,回复@惠子惠惠子:最新消息警：男生踹伤猥亵男被解除刑拘 提级重新调查！感谢网民吧，当然不会感谢你了。你泼脏水就想葫芦僧判葫芦案。心眼真是太坏了。,0,2020-08-26 14:45 ,negative
73,73,https://weibo.cn//u/7222383301,妳的崽崽,女,其他,97,110,96,回复@污大白2017:@青目春奈 看吧,0,2020-08-26 14:27 ,negative
74,74,https://weibo.cn//qydsy,秋月的私语,女,广东,679,25,299,很少关注新闻类微博账号，但是冲着这次的事件，果断关注！,0,2020-08-26 14:24 ,negative
75,75,https://weibo.cn//u/5324876266,宝鹿先生,男,山西,1,53,15,回复@王大伊:,0,2020-08-26 13:53 ,positive
76,76,https://weibo.cn//u/5053071630,Sweet小小小航,女,黑龙江,193,191,534,脑子不好？,0,2020-08-26 13:48 ,negative
77,77,https://weibo.cn//u/5865386508,虽秃但强,女,其他,6,37,1,警察也不是能随便相信的人了，唉,0,2020-08-26 13:41 ,negative
78,78,https://weibo.cn//u/7326593278,云海玉留声,女,北京,82,28,1,见义勇为还要被判刑？！,0,2020-08-26 13:38 ,negative
79,79,https://weibo.cn//u/5865386508,虽秃但强,女,其他,6,37,1,回复@Sighaway同學:不敢,0,2020-08-26 13:38 ,negative
80,80,https://weibo.cn//u/5865386508,虽秃但强,女,其他,6,37,1,回复@与君归故里_:与我无关 与我无关 与我无关,0,2020-08-26 13:32 ,negative
81,81,https://weibo.cn//u/7392293225,可可limy,女,其他,16,165,5,咋不对强奸案这么重视呢？,0,2020-08-26 13:31 ,negative
82,82,https://weibo.cn//u/5912414019,我爱吃蛋挞w,女,湖南,66,370,29,回复@sensualsensation:？这话过于片面了吧，能不能就事论事。愿意待就不是个好东西的人 这话打死了多少人啊，现实条件很多因素限制对于很多人也是故乡。没人待你直接让这个市消失不就好了无语子。,0,2020-08-26 13:22 ,negative
83,83,https://weibo.cn//u/7167880070,5rkure,女,其他,138,200,33, 气死人,0,2020-08-26 13:21 ,negative
84,84,https://weibo.cn//agayur,淡若文汐,女,上海,2367,466,345,回复@爱吃一群逗儿豆:小说里的桥段：少年是练家子。,0,2020-08-26 13:13 ,positive
85,85,https://weibo.cn//u/7313000738,枭翌,男,其他,43,93,3,回复@Anaryblog:这个地方必须严查严处,0,2020-08-26 13:10 ,negative
86,86,https://weibo.cn//u/7313000738,枭翌,男,其他,43,93,3,没钱没关系，老老实实当个普通人吧，该打报警电话就打报警电话,0,2020-08-26 13:09 ,negative
87,87,https://weibo.cn//u/6427641104,和平战士深夜遇到苏格拉底,女,北京,200,46,37,犯罪成本低 反犯罪还要被刑拘 我擦擦眼睛点开日历看看现在是几几年,0,2020-08-26 13:08 ,negative
88,88,https://weibo.cn//yuxi319,予惜yui,女,湖北,3011,584,448,回复@我就是想知道微博名字最多有多长:对啊，他们就是湖南的啊，就是很小就去北方了，他哥是一口北方话不知道为什么他口音还是那么重,0,2020-08-26 13:04 ,negative
89,89,https://weibo.cn//u/5745763467,木林林__,女,四川,212,719,59,没有故意，而且是制止犯罪，为什么要给别人刑拘。知错就改，给年轻人一个榜样吧,0,2020-08-26 13:00 ,negative
90,90,https://weibo.cn//u/7344583309,杨阳54911,男,其他,183,111,11,回复@东方今报:理由一大堆，执法不公多可怕！,0,2020-08-26 12:58 ,negative
91,91,https://weibo.cn//u/5892735527,路人甲的日常xxx,男,其他,239,182,30,回复@词小树:,0,2020-08-26 12:51 ,positive
92,92,https://weibo.cn//u/5283635812,魔仙堡废话冠军用户,女,上海,788,637,1407,回复@Dearest_兔打打:为什么犯法的未成年人还要说一句他还有前途，哦那见义勇为的未成年人就关起来？,0,2020-08-26 12:44 ,negative
93,93,https://weibo.cn//u/7495405800,大名潼杠杠,男,广东,0,6,2,@我亲爱的谭怼怼,0,2020-08-26 12:38 ,positive
94,94,https://weibo.cn//u/5764060095,諼草-,女,广西,689,259,382,希望媒体多呼吁，谢谢媒体呼吁，我们这个社会不能纵容猥亵犯罪！！希望执法机关撤销这个孩子的刑拘，严惩那个52岁老流氓。,0,2020-08-26 12:38 ,negative
95,95,https://weibo.cn//u/5951711422,嘻波嘻波屁,女,其他,31,40,25,什么破警察！,0,2020-08-26 12:36 ,negative
96,96,https://weibo.cn//u/5976231366,词小树,男,其他,6,104,5,回复@路人甲的日常xxx:给爷闭嘴吧，你自己也说的湖南户籍你就直接扣帽子给永州人？qnmd，你在这地域黑还好意思回嘴，再回你si吗！（最先骂人就是你，我说你不要域黑你上来就扣帽子说我政法系统开始骂人，滚吧）,0,2020-08-26 12:31 ,negative
97,97,https://weibo.cn//u/5380278754,叫我小瘦子y,女,台湾,68,30,139,回复@想要双眼皮的人:看见没，解除刑拘了？是相关执行机关的问题，不是法律本身的问题，虽然法律体制存在不健全的部分，这是永远都避免不了的。,0,2020-08-26 12:28 ,negative
98,98,https://weibo.cn//u/3931487330,羽然妈妈_80035,女,其他,1689,305,91,猥琐在前，踢倒在后，怎么猥琐的视频还在，踢倒的视频就被覆盖了？,0,2020-08-26 12:27 ,negative
99,99,https://weibo.cn//u/2804715414,Bruin皮,男,陕西,5084,342,240,见义勇为＝刑事拘留，强奸＝留校察看、换所学校。好人一生平安从你做了好事希望你平安，到你做了好事但是希望不会被处罚。,0,2020-08-26 12:26 ,positive
100,100,https://weibo.cn//u/3265732910,绿贝尔,女,湖北,151,18,23,以后谁敢见义勇为？,0,2020-08-26 12:26 ,negative
101,101,https://weibo.cn//u/3265732910,绿贝尔,女,湖北,151,18,23,见义勇为该得到表扬，,0,2020-08-26 12:24 ,positive
102,102,https://weibo.cn//u/5260891024,e85074,男,其他,17,73,11,回复@东方今报:非见义勇为可牛大了,0,2020-08-26 12:14 ,negative
103,103,https://weibo.cn//u/5892735527,路人甲的日常xxx,男,其他,239,182,30,回复@木三如我:神经病，你骂我我骂你有问题？属实脑瘫玩意。你是不知道东莞扫黄打非抓了多少湖南户籍的吧，里面永州的鸡头混混还少吗？你搁这跟我说地域歧视是有毛病？我针对的是社会风气，你给爷扯我歧视永州人，真是好大一顶帽子哦🙄,0,2020-08-26 12:13 ,negative
104,104,https://weibo.cn//u/1774764404,啊呜啊呜小鱼干,女,上海,9345,738,598,太令人气愤了,0,2020-08-26 12:05 ,negative
105,105,https://weibo.cn//u/2710770371,froyo_h,女,福建,1248,771,290,回复@salo嗨翻天:别杠了，盗窃与其他犯罪不同的是如果当场发现，连续的追回的过程属于正当防卫的一部分,0,2020-08-26 12:04 ,negative
106,106,https://weibo.cn//111501427,懒华,男,广东,377,109,52,良心媒体，关注了,1,2020-08-26 12:00 ,positive
107,107,https://weibo.cn//u/2042805243,极夜-Tuna,男,广西,275,184,181,算了，以后见义勇为是贬义词,0,2020-08-26 11:59 ,negative
108,108,https://weibo.cn//u/5671286777,-少白停云-,女,天津,2637,1864,77,回复@污大白2017:唉,0,2020-08-26 11:56 ,negative
109,109,https://weibo.cn//u/6375057353,马达加斯加的野猴,男,青海,0,25,1,回复@wbglynmsl:这话好像没错,0,2020-08-26 11:51 ,negative
110,110,https://weibo.cn//u/6375057353,马达加斯加的野猴,男,青海,0,25,1,把这个老流氓没拘留，反过来拘留见义勇为的少年。,0,2020-08-26 11:51 ,negative
111,111,https://weibo.cn//u/6615113034,Maruko62537,男,其他,4,3,1,回复@东方今报:什么鬼世道,0,2020-08-26 11:37 ,negative
112,112,https://weibo.cn//u/6083427665,哲哥很nic,男,北京,1669,1379,110,还见义勇为者一个公道！,0,2020-08-26 11:37 ,negative
113,113,https://weibo.cn//u/2790814877,甲猫和乙猫,女,其他,176,285,61,回复@木三如我:唐慧案不是永州的？自己长眼睛去看看新闻吧，公检法人员代表一个地方的形象，你这种无脑护的人只会更加败坏大众对这个地方的好感，回家治治脑子再来上网发言吧，看着怪可怜的,0,2020-08-26 11:18 ,negative
114,114,https://weibo.cn//u/6183998835,污大白2017,男,其他,16,156,131,回复@云端独钓:司法公正得靠舆论的力量。唉。。。。可笑么,0,2020-08-26 11:14 ,negative
115,115,https://weibo.cn//u/3656782471,Lataime,女,其他,12,442,283,回复@Ylllna:,0,2020-08-26 11:13 ,negative
116,116,https://weibo.cn//u/7316051049,范_sy,男,黑龙江,3,10,2,还记得那个 强奸未遂打麻将 见义勇为14天那件事了么,0,2020-08-26 11:12 ,negative
117,117,https://weibo.cn//u/6538442648,我脸大我要先吃,女,山东,34,47,30,回复@刀巴罗刹:什么叫没法往见义勇为上靠 怎么就不是了,1,2020-08-26 11:09 ,negative
118,118,https://weibo.cn//234679800,真璃亚幽幽子,女,广东,1451,494,2109,这阴影怕是要一辈子了,0,2020-08-26 11:04 ,negative
119,119,https://weibo.cn//u/5183823516,是拾柒狸,女,河北,4856,393,192,凭你们敢在黑暗中发声，果断关注,2,2020-08-26 11:01 ,negative
120,120,https://weibo.cn//u/7405337960,W涂涂很糊涂,男,其他,95,68,37,回复@Anaryblog:已经够黑了，不用抹,0,2020-08-26 11:01 ,negative
121,121,https://weibo.cn//u/5902620384,脑震荡的Tom,男,其他,16,705,70,回复@招狂蜂引浪蝶:我看了一下一百多分数录取的警官学院都是大专不分男女 19年的警察学院都没有你所说的男警察一百多分数线,0,2020-08-26 10:54 ,negative
122,122,https://weibo.cn//u/1707418461,云端独钓,男,陕西,479,503,180,回复@Dearest_兔打打:公安尚在官官相护,0,2020-08-26 10:53 ,positive
123,123,https://weibo.cn//u/1707418461,云端独钓,男,陕西,479,503,180,回复@污大白2017:真是的，我都想犯罪，犯罪还能受到利益和警方的礼仪！,0,2020-08-26 10:52 ,negative
124,124,https://weibo.cn//u/1707418461,云端独钓,男,陕西,479,503,180,他妈的！警方一句《猥亵男受伤是实是》可见，在警方眼里，为谢楠比受害者更加受人尊重！,1,2020-08-26 10:49 ,negative
125,125,https://weibo.cn//14021299,riverflowsinme7,女,海外,2411,491,282,关键大概在于致使摔倒那一脚的监控。应该想办法看看还有没有别的角度的监控证明。从文章来看男同学追出去的距离和一起查监控的保安应该离的不远，保安应该可以提供证词。但是监控不足的情况下，就给出故意伤害罪的结论是怎么判断的？靠👮言语“威胁”男同学吗？,1,2020-08-26 10:49 ,negative
126,126,https://weibo.cn//dfjb,东方今报,女,河南,76757,1106,7477754,【最新消息｜踹伤猥亵男男生被解除刑拘，父亲：26日凌晨到家今天吃团圆饭】,19,2020-08-26 10:49 ,negative
127,127,https://weibo.cn//u/2789183241,天苍茧丨,男,黑龙江,223,49,23,警察瞎吗,0,2020-08-26 10:48 ,positive
128,128,https://weibo.cn//u/7294195087,执笔旧空城,女,江苏,43,104,11,回复@发光未来:你正解了,0,2020-08-26 10:48 ,positive
129,129,https://weibo.cn//u/5817258588,小型滑翔机_,女,陕西,188,84,71,回复@大城儿小妮儿:应该还能救一救吧 毕竟你的简介就是“做个好人”呢,0,2020-08-26 10:40 ,positive
130,130,https://weibo.cn//u/6538442648,我脸大我要先吃,女,山东,34,47,30,回复@终于可以改了那个沙雕名字了:就算是圣经你不信教也说得！但是就有人抱着法典一句不让说！,0,2020-08-26 10:37 ,negative
131,131,https://weibo.cn//u/5289603143,droxLily,女,海外,93,859,193,凭什么！！！！！？？？？？？,0,2020-08-26 10:35 ,negative
132,132,https://weibo.cn//u/3256439071,skinnylove_YS,女,河南,269,50,387,回复@俩闪:像这种猥亵的人应该把他的所作所为公布在他住的小区，上班的单位，让他父母，配偶，儿女，亲朋都知道！,0,2020-08-26 10:26 ,negative
133,133,https://weibo.cn//u/2803042504,Miss-Orange,女,广东,319,277,173,希望东方今报能顶住压力持续关注,1,2020-08-26 10:26 ,positive
134,134,https://weibo.cn//u/2165944313,梭罗的邻居,女,广东,277,206,143,回复@李東城love:建议你去看一下人民日报今天的微博！,0,2020-08-26 10:24 ,negative
135,135,https://weibo.cn//u/6034907791,薛之谦和任嘉伦为了娶我打起来了,女,广东,958,70,58,回复@东方今报:猥亵男死了都没人在意好吗,1,2020-08-26 10:22 ,negative
136,136,https://weibo.cn//u/6374352470,夜央雨后,男,山西,258,237,35,回复@污大白2017:放下屠刀立地成佛，那不肯定要先鼓励你拿起屠刀奥,0,2020-08-26 10:21 ,negative
137,137,https://weibo.cn//u/6478513634,爱喝粥的颂颂,女,湖南,100,92,26,这个社会,0,2020-08-26 10:18 ,negative
138,138,https://weibo.cn//u/6478513634,爱喝粥的颂颂,女,湖南,100,92,26,害,0,2020-08-26 10:18 ,negative
139,139,https://weibo.cn//u/7483496053,我站在桥边,女,四川,0,3,2,评论数怎么变少了？？？,0,2020-08-26 10:17 ,negative
140,140,https://weibo.cn//u/6173812728,易九权_,女,北京,82,17,11,回复@东方今报:真的是很生气，一次见义勇为带来的却不是正义制裁坏人，十多年苦读，一朝高考，却因为这种事努力付诸东流，甚至如果没有舆论帮忙，还可能留下刑拘案底，怎么这样啊！！太难受了！,0,2020-08-26 10:14 ,negative
